Custom brain region	root	Cortical plate	Cortical subplate	Striatum	Pallidum	Thalamus	Hypothalamus	Midbrain	Midbrain, sensory related	Midbrain, motor related	Midbrain, behavioral state related	Pons	Medulla	Cerebellum	Cerebellar cortex	Cerebellar nuclei	fiber tracts	ventricular systems
RGB colour	0;0;0	143;0;143	117;37;120	103;41;6	122;102;51	0;143;127	25;187;199	0;155;0	0;133;0	0;111;0	0;111;0	0;100;119	0;100;50	15;15;127	15;15;127	15;15;127	51;51;51	85;85;85
Atlas Ids	997	695	703	477	803	549	1097	313	339	323	348	771	354	512	528	519	1009	73
		315	583	485	818	864	157		302	381	374	1132	386		645	989	967	81
		184	942	672	1022	637	390		851	749	1052	612	207		912	91	949	98
		68	952	493	1031	629	332		842	607344830	165	7	607		920	846	840	108
		667	966	56	835	685	38		834	246	12	867	96		976	589508455	1016	129
		526157192	131	998	342	709	30		4	128	100	123	101		984		21	140
		526157196	295	754	298	718	118		811	294	607344834	398	720		928		665	145
		526322264	303	275	826	725	223		820	26	607344838	122	711		1091		538	153
		500	311	242	904	733	141		828	42	607344842	105	1039		936		900	164
		985	451	250	564	741	72		580	17	607344846	114	903		944		848	
		320	319	258	596	563807435	263		271	10	607344850	987	642		951		916	
		943	327	266	581	406	272		874	795	607344854	280	651		957		336	
		648	334	310	809	414	830		460	50	607344858	880	429		968		117	
		844	780	333	351	422	452		599626923	67	607344862	599626927	437		1073		125	
		882		278	287	609	523			587	197	898	445		1007		832	
		993		23		1044	763			614454277	591	931	589508451		1017		62	
		656		292		1008	914			1100	872	1093	370		1056		158	
		962		536		475	1109			215		318	653		1064		911	
		767		544		1072	126			531		534	661		1025		901	
		1021		551		1079	133			628		574	576		1033		93	
		1085		559		1088	347			634		621	135		1041		229	
		453		1105		170	286			706		549009215	939		1049		794	
		322		403		496345664	338			1061		549009219	143				798	
		353				496345668	576073699			549009203		549009223	839				1116	
		558				496345672	689			616		549009227	1048				933	
		838				856	467			214		1117	372				413	
		654				138	88			35		679	83				948	
		702				218	331			549009211		147	136				841	
		889				1020	210			975		162	106				506	
		929				1029	491			115		604	203				658	
		329				325	732			606826663		146	235				633	
		981				560581551	606826647			757		238	955				482	
		201				239	606826651			231		350	963				917	
		1047				255	606826655			66		358	307				237	
		1070				127	606826659			75			395				792	
		1038				1096	525			58			1098				932	
		1062				1104	557						1107				514	
		337				64	1126						852				380	
		1030				1120	1						859				697	
		113				1113	515						938				960	
		1094				155	980						970				744	
		1128				444	1004						978				752	
		478				59	63						154				326	
		510				362	693						177				812	
		345				366	946						169				850	
		878				1077	290						1069				866	
		657				571	194						701				78	
		950				149	226						209				1123	
		974				15	356						202				553	
		1102				181	364						225				728	
		2				560581559	576073704						217				484682512	
		369				51	173						765				983	
		450				189	470						773				776	
		854				599	614						781				956	
		577				907	797						379				579	
		625				575	804						206				964	
		945				930	10671						230				1108	
		1026				560581563							222				971	
		361				262											484682516	
		1006				1014											986	
		670				27											784	
		1086				563807439											6	
		1111				178											924	
		9				321											190	
		461				958											198	
		182305689				483											896	
		182305693				186											1092	
		182305697															484682520	
		182305701															484682524	
		182305705															1000	
		182305709															760	
		182305713															102	
		378															877	
		873															1051	
		806															1060	
		1035															1043	
		1090															863	
		862															397	
		893															991	
		1057															768	
		36															884	
		180															908	
		148															940	
		187															1099	
		638															466	
		662															530	
		677															603	
		897															737	
		1106															428	
		1010															436	
		1058															618	
		857															443	
		849															449	
		247															301	
		1011															484682528	
		527															824	
		600															54	
		678															349	
		252															46	
		156															753	
		243															690	
		1002															681	
		735															673	
		251															1083	
		816															802	
		847															595	
		954															611	
		1005																
		1027																
		696																
		643																
		759																
		791																
		249																
		456																
		1018																
		959																
		755																
		990																
		1023																
		520																
		598																
		669																
		402																
		1074																
		905																
		1114																
		233																
		601																
		649																
		394																
		281																
		1066																
		401																
		433																
		1046																
		441																
		409																
		421																
		973																
		573																
		613																
		74																
		121																
		385																
		593																
		821																
		721																
		778																
		33																
		305																
		425																
		750																
		269																
		869																
		902																
		377																
		393																
		533																
		805																
		41																
		501																
		565																
		257																
		469																
		312782574																
		312782578																
		312782582																
		312782586																
		312782590																
		312782594																
		312782598																
		312782628																
		312782632																
		312782636																
		312782640																
		312782644																
		312782648																
		312782652																
		31																
		39																
		935																
		211																
		1015																
		919																
		927																
		48																
		588																
		296																
		772																
		810																
		819																
		972																
		171																
		304																
		363																
		84																
		132																
		44																
		707																
		556																
		827																
		1054																
		1081																
		714																
		723																
		448																
		412																
		630																
		440																
		488																
		731																
		484																
		582																
		620																
		910																
		527696977																
		746																
		969																
		288																
		1125																
		608																
		680																
		95																
		104																
		996																
		328																
		1101																
		783																
		831																
		111																
		120																
		163																
		344																
		314																
		355																
		119																
		704																
		694																
		800																
		675																
		699																
		254																
		894																
		671																
		965																
		774																
		906																
		279																
		879																
		442																
		434																
		610																
		274																
		330																
		886																
		542																
		430																
		687																
		590																
		622																
		22																
		312782546																
		312782550																
		312782554																
		312782558																
		312782562																
		312782566																
		312782570																
		417																
		312782604																
		312782608																
		312782612																
		312782616																
		312782620																
		312782624																
		541																
		97																
		1127																
		234																
		289																
		729																
		786																
		922																
		540																
		888																
		692																
		335																
		368																
		895																
		836																
		427																
		988																
		977																
		1045																
		698																
		507																
		151																
		188																
		196																
		204																
		159																
		589																
		597																
		605																
		814																
		961																
		619																
		260																
		268																
		1139																
		631																
		639																
		647																
		655																
		663																
		788																
		566																
		1089																
		1080																
		375																
		382																
		423																
		463																
		726																
		10703																
		10704																
		632																
		982																
		19																
		822																
		909																
		918																
		1121																
		20																
		52																
		139																
		28																
		926																
		526																
		543																
		664																
		727																
		743																
		843																
		1037																
		1084																
		502																
		484682470																
		589508447																
		484682508																
